id,name,value,changePercentage,change,turnover,volume,open,high,low,updatedOn
5,Acrow Misr,62.52,-1,-0.63,988725.56,15783,63.15,64.49,62,9/8/2024
5,Acrow Misr,75.38,19.99,12.56,30675656,432064,62.82,75.38,63.6,9/15/2024
5,Acrow Misr,76,1.17,0.88,12399934,159939,75.12,79.77,75.25,9/23/2024
5,Acrow Misr,71.67,-1.73,-1.26,1028203.06,14278,72.93,73.75,71.04,10/1/2024
5,Acrow Misr,69.92,-2.44,-1.75,1244625,17815,71.67,72.49,68,10/2/2024
5,Acrow Misr,70.11,0.27,0.19,562540.69,8010,69.92,71.85,69.92,10/4/2024
5,Acrow Misr,69.02,-1.55,-1.09,940319.44,13516,70.11,70.9,68.02,10/7/2024
5,Acrow Misr,64.8,-3.23,-2.16,1265646.5,19358,66.96,67,64.2,10/10/2024
5,Acrow Misr,66.25,2.16,1.4,421507.81,6362,64.85,68.85,65.15,10/15/2024
5,Acrow Misr,63.83,0.85,0.54,469572.78,7379,63.29,64.89,63,10/22/2024
6,Act Financial,3.61,-1.9,-0.07,44484564,12235835,3.68,3.7,3.57,8/12/2024
6,Act Financial,3.23,-9.27,-0.33,98395864,30417293,3.56,3.5,3.08,8/5/2024
6,Act Financial,3.38,4.64,0.15,47727932,14240753,3.23,3.41,3.27,8/6/2024
6,Act Financial,3.7,9.47,0.32,108379152,30361833,3.38,3.71,3.32,8/7/2024
6,Act Financial,3.53,-4.59,-0.17,23201912,6439893,3.7,3.7,3.51,8/8/2024
6,Act Financial,3.68,4.25,0.15,42053356,11428153,3.53,3.75,3.54,8/11/2024
6,Act Financial,3.5,-3.05,-0.11,27161820,7755659,3.61,3.65,3.37,8/13/2024
6,Act Financial,3.46,0,0,4970694.5,1427059,3.47,3.53,3.42,8/15/2024
6,Act Financial,3.45,-0.58,-0.02,18603688,5315623,3.47,3.57,3.43,8/18/2024
6,Act Financial,3.44,-0.29,-0.01,10175356,2956259,3.45,3.48,3.42,8/19/2024
6,Act Financial,3.55,3.2,0.11,31236668,8884441,3.44,3.57,3.42,8/20/2024
6,Act Financial,3.53,-0.56,-0.02,15840765,4417550,3.55,3.62,3.51,8/21/2024
6,Act Financial,3.7,4.82,0.17,91242232,24668666,3.53,3.78,3.54,8/24/2024
6,Act Financial,3.61,-2.43,-0.09,12375230,3429114,3.7,3.7,3.54,8/25/2024
6,Act Financial,3.6,-0.83,-0.03,9115274,2521781,3.63,3.65,3.56,8/27/2024
6,Act Financial,3.67,1.66,0.06,28021892,7616048,3.61,3.72,3.6,8/28/2024
6,Act Financial,3.45,-2.54,-0.09,6687210.5,1929855,3.54,3.54,3.42,9/8/2024
6,Act Financial,3.35,0,0,3144488.75,935369,3.35,3.41,3.34,9/15/2024
6,Act Financial,3.4,1.8,0.06,11238272,3309697,3.34,3.47,3.32,9/23/2024
6,Act Financial,3.29,-2.08,-0.07,17486208,5299797,3.36,3.39,3.24,10/1/2024
